api_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,custom_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,LinkedIn,How did you hear about the event?,What project(s) are you working on?,"What phase are you in? ",What are your superpower (skills you have)🦸?,Do you have any other superpowers we missed?,What do you need help with right now?🚁,Any additional details on what you're looking help with? We'll try our best to match you  with someone in the community with those skills
gst-DEMO001,Maya Chen,Maya,Chen,maya.chen@example.com,+14165551234,2026-01-10T14:30:00.000Z,approved,2026-01-18T18:05:00.000Z,,https://example.com/checkin/001,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/mayachen,Twitter,Building an AI-powered meal planning app for busy professionals,Build phase (building),"Mobile app development, AI automations, Design (UX/UI)",,Pitching & Fundraising,Looking for angel investors interested in health-tech
gst-DEMO002,Jordan Williams,Jordan,Williams,jordan.w@example.com,+14165552345,2026-01-10T15:00:00.000Z,approved,2026-01-18T18:12:00.000Z,,https://example.com/checkin/002,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/jordanwilliams,Friend referral,Creating a platform connecting local artists with event venues,Momentum phase (growing),"Sales, Community Building, Social media branding/content",,Web development,Need help building out our booking system
gst-DEMO003,Priya Sharma,Priya,Sharma,priya.sharma@example.com,+14165553456,2026-01-10T16:20:00.000Z,approved,2026-01-18T18:08:00.000Z,,https://example.com/checkin/003,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/priyasharma,LinkedIn,Working on a carbon footprint tracker for small businesses,Spark phase (ideation),"Data science, Web development, Pitching & fundraising",Climate tech expertise,Design (UX/UI),Want to improve our dashboard visualizations
gst-DEMO004,Marcus Johnson,Marcus,Johnson,marcus.j@example.com,+14165554567,2026-01-11T09:15:00.000Z,approved,2026-01-18T18:20:00.000Z,,https://example.com/checkin/004,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/marcusjohnson,Eventbrite,Building a fintech app for freelancers to manage invoices and taxes,Build phase (building),"Mobile app development, Sales, AI automations",,Community Building,Looking for beta testers in the freelance community
gst-DEMO005,Elena Rodriguez,Elena,Rodriguez,elena.r@example.com,+14165555678,2026-01-11T10:30:00.000Z,approved,2026-01-18T18:15:00.000Z,,https://example.com/checkin/005,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/elenarodriguez,Instagram,Creating an AR try-on experience for independent fashion brands,Spark phase (ideation),"Design (UX/UI), Filmmaking/photography, 3D modeling",,Web development,Need a technical co-founder
gst-DEMO006,Kevin Park,Kevin,Park,kevin.park@example.com,+14165556789,2026-01-11T11:45:00.000Z,approved,2026-01-18T18:25:00.000Z,,https://example.com/checkin/006,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/kevinpark,Newsletter,Developing a language learning app using AI conversation partners,Build phase (building),"AI automations, Mobile app development, Education",,Social media branding/content,Want to grow our user base organically
gst-DEMO007,Aisha Thompson,Aisha,Thompson,aisha.t@example.com,+14165557890,2026-01-11T14:00:00.000Z,approved,2026-01-18T18:30:00.000Z,,https://example.com/checkin/007,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/aishathompson,Podcast,Building a marketplace for sustainable home goods,Momentum phase (growing),"Sales, Community Building, Social media branding/content",Supply chain management,Pitching & Fundraising,Preparing for seed round
gst-DEMO008,David Kim,David,Kim,david.kim@example.com,+14165558901,2026-01-11T15:30:00.000Z,approved,2026-01-18T18:35:00.000Z,,https://example.com/checkin/008,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/davidkim,MakersLounge community,Creating developer tools for API testing and documentation,Build phase (building),"Web development, AI automations, Technical writing",,Design (UX/UI),Looking to improve our onboarding flow
gst-DEMO009,Sofia Martinez,Sofia,Martinez,sofia.m@example.com,+14165559012,2026-01-12T08:45:00.000Z,approved,2026-01-18T18:40:00.000Z,,https://example.com/checkin/009,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/sofiamartinez,Twitter,Working on a mental health journaling app with AI insights,Spark phase (ideation),"Mobile app development, Design (UX/UI), Psychology background",,Pitching & Fundraising,Looking for health-tech advisors
gst-DEMO010,Ryan O'Connor,Ryan,O'Connor,ryan.oc@example.com,+14165550123,2026-01-12T10:00:00.000Z,approved,2026-01-18T18:45:00.000Z,,https://example.com/checkin/010,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/ryanoconnor,Friend referral,Building a platform for remote team collaboration and culture,Build phase (building),"Web development, Community Building, Sales",,AI automations,Want to add AI features to our platform
